text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @SallyDeal4: @realDonaldTrump @ArmyWP_Football Judge Napolitano is #FoxNews's judicial analyst. Unlike #Barr &amp; #DictatorDon, he actually…",FALSE,0,NA,2019-05-06T23:08:57Z,FALSE,NA,1125537968431616000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SallyDeal4,11,TRUE,FALSE,NA,NA
"RT @larryelder: #MuellerReport

Hat tip: @papagiorgio200 https://t.co/Zb8EuwrpXi",FALSE,0,NA,2019-05-06T23:08:57Z,FALSE,NA,1125537966749900806,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ValverdeMdv,773,TRUE,FALSE,NA,NA
"RT @EarlOfEnough: ❗️BIPARTISAN BLOCKBUSTER❗️

👇🏾

The ONLY reason @realDonaldTrump was not charged with obstruction of justice is because h…",FALSE,0,NA,2019-05-06T23:08:50Z,FALSE,NA,1125537939121897473,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8SparkyGrl8,110,TRUE,FALSE,NA,NA
"RT @Top_Sergeant: Damn, nothing like a military diversion from the #MuellerReport #TrumpPutinAlliance #MARINESagainstTrump #VeteransAgainst…",FALSE,0,NA,2019-05-06T23:08:39Z,FALSE,NA,1125537891801804803,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",victoraamunds2,78,TRUE,FALSE,NA,NA
RT @JacksonLeeTX18: This morning #AGBarr refused the direct demand of the @HouseJudiciary Committee representing the co-equal branch of gov…,FALSE,0,NA,2019-05-06T23:08:33Z,FALSE,NA,1125537866329645057,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rmsalerno1,11,TRUE,FALSE,NA,NA
Over 400 former prosecutors say Trump would be charged with obstruction if he weren't president https://t.co/pFa4yKlpic #muellerreport,FALSE,0,NA,2019-05-06T23:08:21Z,FALSE,NA,1125537815855415297,NA,"<a href=""https://www.smartnews.com/"" rel=""nofollow"">SmartNews | スマートニュース</a>",hairbyheather1,0,FALSE,FALSE,NA,NA
RT @PaulaChertok: 🙄😒Pathetic! @RepKinzinger once spoke out about Trump’s dangerous conduct. Now Adam falls in line w/ GOP apologists: It’s…,FALSE,0,NA,2019-05-06T23:08:13Z,FALSE,NA,1125537784503128064,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",darmagirl24,5,TRUE,FALSE,NA,NA
RT @PaulaChertok: 🙄😒Pathetic! @RepKinzinger once spoke out about Trump’s dangerous conduct. Now Adam falls in line w/ GOP apologists: It’s…,FALSE,0,NA,2019-05-06T23:07:50Z,FALSE,NA,1125537684062183424,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ginscience1,5,TRUE,FALSE,NA,NA
"RT @EarlOfEnough: ❗️BIPARTISAN BLOCKBUSTER❗️

👇🏾

The ONLY reason @realDonaldTrump was not charged with obstruction of justice is because h…",FALSE,0,NA,2019-05-06T23:07:44Z,FALSE,NA,1125537662494863361,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GotJanie,110,TRUE,FALSE,NA,NA
RT @TheLoyalO: The House Judiciary Committee likely will hold Barr in contempt of Congress for failing to turn over the full #MuellerReport…,FALSE,0,NA,2019-05-06T23:07:41Z,FALSE,NA,1125537647219412992,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PFan62,312,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:06:57Z,FALSE,NA,1125537465832370176,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IdeaFarmerChirp,2407,TRUE,FALSE,NA,NA
"@realDonaldTrump should be locked up!

#MuellerReport 
#ImpeachTrump https://t.co/Uso8lKRdBe",FALSE,0,realDonaldTrump,2019-05-06T23:06:54Z,FALSE,NA,1125537453287325696,25073877,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kavrider,0,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:06:53Z,FALSE,NA,1125537445724938241,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",idbronco7,2407,TRUE,FALSE,NA,NA
"RT @mayawiley: Pleasure to join @TheBeatWithAri. When you have a Bully-in-Chief, standing down his squad with #Contempt is understandable.…",FALSE,0,NA,2019-05-06T23:06:48Z,FALSE,NA,1125537426640793600,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Sixteenpaws16,45,TRUE,FALSE,NA,NA
"So, we’ve all got 6 days until the next episode of #GOT. Let’s all read #MuellerReport for ourselves. https://t.co/knnPjFRUB8",FALSE,0,NA,2019-05-06T23:06:37Z,FALSE,NA,1125537378318159873,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fehrgolf,0,FALSE,FALSE,NA,NA
"RT @TheLoyalO: ""Unchecked obstruction...puts our whole system of justice at risk.""

Today, 375 former federal prosecutors signed a statemen…",FALSE,0,NA,2019-05-06T23:06:36Z,FALSE,NA,1125537375948558337,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlexanderKaty,131,TRUE,FALSE,NA,NA
RT @SidneyPowell1: Raise your hand if you think Joseph Misfud was working for MI-6 and coordinating with #Brennan?  It all started well bef…,FALSE,0,NA,2019-05-06T23:06:25Z,FALSE,NA,1125537329110605824,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AZWS,1206,TRUE,FALSE,NA,NA
"RT @AuthorJennSadai: 5 hours ago it was 370 federal prosecutors. Now it's 480 prosecutors, both Republicans and Democrats.

Yet, people who…",FALSE,0,NA,2019-05-06T23:06:23Z,FALSE,NA,1125537321699483651,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",shurn_burn,1,TRUE,FALSE,NA,NA
"RT @SallyDeal4: #TrumpsScaredOfMueller 

Everyone should read the #MuellerReport, but if it's just too much, you can at least read the 18 p…",FALSE,0,NA,2019-05-06T23:05:55Z,FALSE,NA,1125537202887249920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",linnettec,224,TRUE,FALSE,NA,NA
"@larryelder @seanhannity @seanspicer @HillaryClinton I think that it should be that the 2018 election ""was stolen."" #MuellerReport",FALSE,0,larryelder,2019-05-06T23:05:51Z,FALSE,1125535830800355329,1125537185619308544,195271137,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",unperturbable,0,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:05:50Z,FALSE,NA,1125537180884115456,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3ROB88,2407,TRUE,FALSE,NA,NA
"RT @ashekyu: The #MuellerReport means nothing. @realDonaldTrump wasn't charged with anything. End of story. 

#MuellersReport #Mueller #Tru…",FALSE,0,NA,2019-05-06T23:05:49Z,FALSE,NA,1125537180586250241,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SoarForFreedom,3,TRUE,FALSE,NA,NA
"RT @mayawiley: Pleasure to join @TheBeatWithAri. When you have a Bully-in-Chief, standing down his squad with #Contempt is understandable.…",FALSE,0,NA,2019-05-06T23:05:37Z,FALSE,NA,1125537127414939648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kathy_levy,45,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:05:26Z,FALSE,NA,1125537080556294145,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LindaBouldin,2407,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:05:17Z,FALSE,NA,1125537043927502849,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yacheeze,2407,TRUE,FALSE,NA,NA
"RT @tedlieu: Based on Bill Barr's pattern of behavior and some inexplicable answers under oath, I'm beginning to think that not only did he…",FALSE,0,NA,2019-05-06T23:04:53Z,FALSE,NA,1125536944090435585,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PokornyKathy,9932,TRUE,FALSE,NA,NA
RT @PaulaChertok: 🙄😒Pathetic! @RepKinzinger once spoke out about Trump’s dangerous conduct. Now Adam falls in line w/ GOP apologists: It’s…,FALSE,0,NA,2019-05-06T23:04:44Z,FALSE,NA,1125536907792769024,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",SolarSam6,5,TRUE,FALSE,NA,NA
